query_id,query,category,expected_docs,retrieved_docs,relevant_found,moderate_found,first_relevant_rank,precision_at_k,recall,ndcg_at_k,hit
Q001,Qual artigo trata da proposta de cartas de corredores visuais?,retrieval,ICA-96-1-art563:relevant,decea_ICA-96-1-art549:0.500;decea_ICA-96-1-art248:0.500;decea_MCA-100-15-art84:0.333;urn_lex_br_federal_decreto.lei_1981-12-17_1896:0.333;decea_ICA-96-1-art563:0.254,decea_ICA-96-1-art563,,5,0.2000,1.0000,0.3869,True
Q002,Como solicitar divulgação de informação aeronáutica?,retrieval,ICA-96-1-art563:relevant;ICA-96-1-art591:moderate,decea_ICA-53-4-art1:0.500;decea_ICA-53-4-art21:0.500;decea_ICA-100-37-art570:0.333;decea_ICA-53-4-art40:0.333;decea_DCA-351-7-art28:0.250,,,N/A,0.0000,0.0000,0.0000,False
Q003,Quais informações cada tipo de carta aeronáutica fornece?,retrieval,ICA-96-1-art12:relevant,decea_ICA-105-17-art260:0.500;decea_ICA-96-1-art29:0.500;decea_ICA-53-7-art27:0.333;decea_ICA-96-1-art30:0.333;decea_PCA-351-7-art247:0.250,,,N/A,0.0000,0.0000,0.0000,False
Q004,O que diz sobre representação de obstáculos na vista de planta da carta?,retrieval,ICA-96-1-art248:relevant;ICA-96-1-art255:moderate,decea_PCA-351-7-art251:0.500;decea_MCA-96-4-art2-19:0.500;decea_MCA-96-3-art3-29:0.333;decea_ICA-96-1-art248:0.333;decea_MCA-96-4-art2-17:0.250,decea_ICA-96-1-art248,,4,0.2000,0.5000,0.3274,True
Q005,Como representar o perfil de cada pista e zona de parada na carta?,retrieval,ICA-96-1-art96:relevant,decea_ICA-96-1-art96:0.750;decea_ICA-96-1-art111:0.500;decea_ICA-96-1-art110:0.333;decea_ICA-96-1-art480:0.333;decea_ICA-96-1-art97:0.300,decea_ICA-96-1-art96,,1,0.2000,1.0000,1.0000,True
Q006,Qual escala horizontal usar para perfil de terreno além de 900m da pista?,retrieval,ICA-96-1-art121:relevant,decea_ICA-96-1-art121:0.533;decea_MCA-96-4-art2-19:0.500;decea_ICA-96-1-art98:0.500;decea_ICA-96-1-art476:0.333;decea_MCA-96-4-art2-20:0.250,decea_ICA-96-1-art121,,1,0.2000,1.0000,1.0000,True
Q007,Como indicar na carta quando ela não está desenhada em escala?,retrieval,ICA-96-1-art179:relevant;ICA-96-1-art204:moderate,decea_ICA-96-1-art204:0.600;decea_ICA-105-15-art169-5:0.500;decea_ICA-96-1-art179:0.444;decea_MCA-96-4-art2-2:0.333;decea_MCA-96-4-art2-5:0.250,decea_ICA-96-1-art179,decea_ICA-96-1-art204,3,0.4000,1.0000,0.7602,True
Q008,Para que servem as cartas de voo visual a baixas altitudes?,retrieval,ICA-96-1-art485:relevant,decea_ICA-96-1-art404:0.500;decea_MCA-100-16-art74:0.500;decea_CIRCEA-100-54-art229:0.424;decea_ICA-96-1-art485:0.333;decea_ICA-100-37-art619:0.250,decea_ICA-96-1-art485,,4,0.2000,1.0000,0.4307,True
Q009,Como identificar a carta pelo nome da cidade e aeródromo?,retrieval,ICA-96-1-art323:relevant,decea_ICA-96-1-art292:1.000;decea_ICA-96-1-art343:0.500;decea_ICA-96-1-art333:0.450;decea_ICA-96-1-art162:0.444;decea_ICA-96-1-art122:0.350,,,N/A,0.0000,0.0000,0.0000,False
Q010,O que são cartas GeoPDF georreferenciadas?,retrieval,ICA-96-1-art45:relevant,decea_ICA-96-1-art45:0.577;decea_ICA-63-47-art162:0.500;decea_ICA-96-3-art2-1:0.333;decea_ICA-96-1-art75:0.333;decea_ICA-96-1-art445:0.250,decea_ICA-96-1-art45,,1,0.2000,1.0000,1.0000,True
