query_id,query,expected_doc_id,expected_cell_value,expected_table_label,relevance,category,notes
TQ001,"Qual a tolerância de altímetro a 10.000 pés segundo a Tabela I do Apêndice E do RBAC 43?",RBAC-43,"80","TABELA I — Tolerâncias do altímetro (RBAC 43, Apêndice E)",relevant,table_bound,"Linha 10.000 pés -> col ± (pés) = 80"
TQ002,"Qual a pressão equivalente em hPa correspondente à altitude 0 pés segundo a Tabela I do RBAC 43?",RBAC-43,"1.013,2","TABELA I — Tolerâncias do altímetro (RBAC 43, Apêndice E)",relevant,table_bound,"Linha 0 pés -> col hPa"
TQ003,"Qual a tolerância em metros (± m) a 12.000 pés conforme Tabela I do Apêndice E do RBAC 43?",RBAC-43,"27,43","TABELA I — Tolerâncias do altímetro (RBAC 43, Apêndice E)",relevant,table_bound,"Linha 12.000 pés -> col ± (m)"
TQ004,"Qual a tolerância em pés a -1.000 pés segundo a Tabela I do RBAC 43?",RBAC-43,"20","TABELA I — Tolerâncias do altímetro (RBAC 43, Apêndice E)",relevant,table_bound,"Linha -1.000 pés -> col ± (pés)"
TQ005,"Qual a pressão equivalente em polegadas de Hg a 25.000 pés segundo a Tabela I do RBAC 43?",RBAC-43,"11,104","TABELA I — Tolerâncias do altímetro (RBAC 43, Apêndice E)",relevant,table_bound,"Linha 25.000 pés -> col polegadas Hg"
TQ006,"Qual a tolerância de vazamento da caixa do altímetro segundo a Tabela II do RBAC 43?",RBAC-43,"100","TABELA II — Tolerância do Teste (RBAC 43, Apêndice E)",relevant,table_bound,"Linha Vazamento da caixa -> ± pés = 100"
TQ007,"Qual a visibilidade exigida em voo VFR acima de 10.000 pés (MSL) segundo a tabela do RBAC 105?",RBAC-105,"7.500 m","Visibilidade VFR (RBAC 105)",relevant,table_bound,"Linha >10.000 pés -> visibilidade"
TQ008,"Qual o afastamento horizontal de nuvens em VFR abaixo de 10.000 pés conforme tabela do RBAC 105?",RBAC-105,"600 m","Visibilidade VFR (RBAC 105)",relevant,table_bound,"Linha <10.000 pés -> afastamento horizontal"
TQ009,"Qual a data de vigência da Subparte C (Dano Generalizado por Fadiga) segundo a Tabela 1 do RBAC 26?",RBAC-26,"08/03/2013","Tabela 1 — Aplicabilidade (RBAC 26)",relevant,table_bound,"Linha Data de vigência -> Subparte C"
TQ010,"Quais seções do RBAC 26 aplicam-se a futuros requerentes de certificado de tipo (Subparte E - Dados de Tolerância ao Dano)?",RBAC-26,"26.43","Tabela 1 — Aplicabilidade (RBAC 26)",relevant,table_bound,"Linha Futuros requerentes CT -> Subparte E"
TQ011,"Qual a visibilidade mínima em voo VFR a 10.000 pés AMSL ou acima segundo a Tabela 1 da ICA 100-12?",ICA-100-12,"8 km","Tabela 1 — VFR (ICA 100-12)",relevant,table_bound,"Linha >=10.000 pés -> col Visibilidade"
TQ012,"Qual a distância horizontal mínima de nuvens em VFR acima de 10.000 pés AMSL segundo a Tabela 1 da ICA 100-12?",ICA-100-12,"1.500 m","Tabela 1 — VFR (ICA 100-12)",relevant,table_bound,"Linha >=10.000 pés -> col distância horizontal"
TQ013,"Em VFR a 900 m AMSL ou abaixo nas classes F e G, qual a separação de nuvens exigida pela ICA 100-12?",ICA-100-12,"Livre de nuvens","Tabela 1 — VFR (ICA 100-12)",relevant,table_bound,"Linha 900m abaixo F/G -> Distância nuvens"
TQ014,"Qual o limite de velocidade em VFR na classe B do espaço aéreo segundo a Tabela 2 da ICA 100-12?",ICA-100-12,"380 kt","Tabela 2 — Limites de velocidade (ICA 100-12)",relevant,table_bound,"Linha Limite -> coluna B"
TQ015,"Qual o limite de velocidade VFR abaixo de 10.000 pés AMSL nas classes C/D/E/F/G da ICA 100-12?",ICA-100-12,"250 kt","Tabela 2 — Limites de velocidade (ICA 100-12)",relevant,table_bound,"Linha Limite -> coluna C-G abaixo 10.000"
TQ016,"Qual o nível de voo (FL) para tráfego VFR rumo magnético 045 a aproximadamente 5.500 pés segundo a Tabela 7 da ICA 100-12?",ICA-100-12,"FL55","Tabela 7 — Níveis de cruzeiro (ICA 100-12)",relevant,table_bound,"FL VFR rumo 000-179 -> linha 5500 pés"
TQ017,"Qual a altitude em metros correspondente ao FL130 para voo IFR rumo magnético entre 000º e 179º na ICA 100-12?",ICA-100-12,"3950","Tabela 7 — Níveis de cruzeiro (ICA 100-12)",relevant,table_bound,"FL130 IFR rumo 000-179 -> altitude metros"
TQ018,"Qual o nível de voo VFR para rumo magnético 230 e altitude 10.500 pés conforme Tabela 7 da ICA 100-12?",ICA-100-12,"FL105","Tabela 7 — Níveis de cruzeiro (ICA 100-12)",relevant,table_bound,"FL VFR rumo 180-359 -> linha 10500 pés"
TQ019,"Qual o nível de transição com altitude de transição 4.000 pés e QNH entre 995,1 e 1013,2 hPa segundo a tabela do nível de transição na ICA 100-37?",ICA-100-37,"FL 050","Tabela para Determinação do Nível de Transição (ICA 100-37)",relevant,table_bound,"Linha 4.000 -> col 995,1 a 1013,2"
TQ020,"Qual o nível de transição com altitude de transição 6.000 pés e QNH entre 977,2 e 995,0 hPa na ICA 100-37?",ICA-100-37,"FL 075","Tabela para Determinação do Nível de Transição (ICA 100-37)",relevant,table_bound,"Linha 6.000 -> col 977,2 a 995,0"
TQ021,"Qual o mínimo de separação por esteira de turbulência entre uma aeronave SUPER seguida por outra PESADA segundo a ICA 100-37?",ICA-100-37,"6 NM","Mínimos de separação por esteira de turbulência (ICA 100-37)",relevant,table_bound,"SUPER -> PESADA"
TQ022,"Qual o mínimo de separação por esteira de turbulência entre uma aeronave PESADA seguida por outra LEVE na ICA 100-37?",ICA-100-37,"6 NM","Mínimos de separação por esteira de turbulência (ICA 100-37)",relevant,table_bound,"PESADA -> LEVE"
TQ023,"Qual o mínimo de separação por esteira de turbulência entre uma aeronave MÉDIA seguida por outra LEVE na ICA 100-37?",ICA-100-37,"5 NM","Mínimos de separação por esteira de turbulência (ICA 100-37)",relevant,table_bound,"MÉDIA -> LEVE"
TQ024,"Qual o limite de velocidade em VFR na classe B do espaço aéreo conforme tabela de classes do espaço aéreo na ICA 100-37?",ICA-100-37,"380 kt","Tabela de classes do espaço aéreo (ICA 100-37)",relevant,table_bound,"Classe B linha VFR -> limite velocidade"
TQ025,"Qual a separação provida pelo serviço ATS na classe A do espaço aéreo segundo a ICA 100-37?",ICA-100-37,"A todas aeronaves","Tabela de classes do espaço aéreo (ICA 100-37)",relevant,table_bound,"Classe A IFR -> separação"
