query_id,query,expected_docs,retrieved_docs,relevant_found,moderate_found,first_relevant_rank,precision_at_k,recall,hit
Q001,Qual artigo trata da proposta de cartas de corredores visuais?,ICA-96-1-art563:relevant,ICA-96-1-art248:0.564;ICA-96-1-art96:0.552;ICA-96-1-art563:0.542;ICA-96-1-art364:0.524;ICA-96-1-art614:0.506,ICA-96-1-art563,,3,0.2000,1.0000,True
Q002,Como solicitar divulgação de informação aeronáutica?,ICA-96-1-art563:relevant,ICA-96-1-art591:0.551;ICA-07-36:0.540;ICA-53-4-art1:0.532;ICA-96-1-art87:0.530;ICA-7-26:0.529,,,N/A,0.0000,0.0000,False
Q003,Quais informações cada tipo de carta fornece?,ICA-96-1-art12:relevant,ICA-96-1-art486:0.544;ICA-96-1-art76:0.541;ICA-96-1-art157:0.533;ICA-96-1-art282:0.517;ICA-96-1-art261:0.516,,,N/A,0.0000,0.0000,False
Q004,O que diz sobre representação de obstáculos na carta?,ICA-96-1-art255:relevant,ICA-96-1-art255:0.605;ICA-96-1-art248:0.580;ICA-96-1-art249:0.562;ICA-96-1-art201:0.522;ICA-96-1-art178:0.518,ICA-96-1-art255,,1,0.2000,1.0000,True
Q005,O que diz sobre representação de obstáculos na carta?,ICA-96-1-art96:moderate,ICA-96-1-art255:0.605;ICA-96-1-art248:0.580;ICA-96-1-art249:0.562;ICA-96-1-art201:0.522;ICA-96-1-art178:0.518,,,N/A,0.0000,0.0000,False
Q006,Como representar perfil de pista na carta?,ICA-96-1-art96:relevant,ICA-96-1-art364:0.641;ICA-96-1-art261:0.624;ICA-96-1-art255:0.614;ICA-96-1-art178:0.598;ICA-96-1-art248:0.594,,,N/A,0.0000,0.0000,False
Q007,Qual escala usar para perfil de terreno além de 900m da pista?,ICA-96-1-art121:relevant,ICA-96-1-art124:0.630;ICA-96-1-art91:0.585;ICA-96-1-art89:0.581;ICA-96-1-art98:0.574;ICA-96-1-art306:0.566,,,N/A,0.0000,0.0000,False
Q008,Como indicar quando a carta não está em escala?,ICA-96-1-art179:relevant,ICA-96-1-art179:0.530;ICA-96-1-art469:0.527;ICA-96-1-art444:0.524;ICA-96-1-art178:0.520;ICA-96-1-art204:0.517,ICA-96-1-art179,,1,0.2000,1.0000,True
Q009,Como indicar quando a carta não está em escala?,ICA-96-1-art204:moderate,ICA-96-1-art179:0.530;ICA-96-1-art469:0.527;ICA-96-1-art444:0.524;ICA-96-1-art178:0.520;ICA-96-1-art204:0.517,,ICA-96-1-art204,N/A,0.2000,1.0000,True
Q010,Para que servem as cartas de voo visual a baixas altitudes?,ICA-96-1-art485:relevant,ICA-96-1-art104:0.510;ICA-96-1-art269:0.478;ICA-96-1-art107:0.477;ICA-96-1-art485:0.471;ICA-96-1-art102:0.468,ICA-96-1-art485,,4,0.2000,1.0000,True
Q011,Como identificar a carta pelo nome da cidade?,ICA-96-1-art323:relevant,ICA-96-1-art423:0.601;ICA-96-1-art502:0.583;ICA-96-1-art343:0.571;ICA-96-1-art333:0.564;ICA-96-1-art292:0.532,,,N/A,0.0000,0.0000,False
Q012,O que são cartas GeoPDF georreferenciadas?,ICA-96-1-art45:relevant,ICA-96-1-art75:0.564;ICA-96-1-art82:0.550;ICA-96-1-art76:0.522;ICA-96-1-art550:0.519;ICA-96-1-art178:0.518,,,N/A,0.0000,0.0000,False
Q013,Quais são os requisitos para ATCO instrutor de IFCTA?,ICA-100-47-art14:relevant,ICA-100-47-art18:0.683;ICA-100-47-art8:0.651;ICA-64-5:0.634;ICA-100-47-art17:0.626;ICA-100-47-art10:0.618,,,N/A,0.0000,0.0000,False
Q014,Quais critérios para seleção de ATCO?,ICA-100-47-art10:relevant,ICA-96-1-art570:0.537;ICA-96-1-art609:0.533;ICA-96-1-art584:0.530;ICA-96-1-art578:0.508;ICA-96-1-art610:0.501,,,N/A,0.0000,0.0000,False
Q015,O que é RBAC 91?,,ICA-96-1-art94:0.379;ICA-96-1-art74:0.379;ICA-96-1-art92:0.374;ICA-96-1-art83:0.372;ICA-63-45-art3:0.362,,,N/A,0.0000,0.0000,False
Q016,Quais são os requisitos de manutenção de aeronaves?,,ICA-35-13:0.530;ICA-96-1-art590:0.526;ICA-121-13:0.525;ICA-96-1-art326:0.519;ICA-7-26:0.495,,,N/A,0.0000,0.0000,False
Q017,O que diz a lei 7565 sobre aviação?,,ICA-96-1-art70:0.555;ICA-96-1-art71:0.408;ICA-121-13:0.392;ICA-100-36:0.377;ICA-37-924:0.366,,,N/A,0.0000,0.0000,False
Q018,Como funciona o comitê de segurança da informação no DECEA?,ICA-7-58:relevant,ICA-07-37:0.723;ICA-800-5:0.584;ICA-7-58:0.567;ICA-800-3:0.547;ICA-96-1-art7:0.506,ICA-7-58,,3,0.2000,1.0000,True
Q019,O que é prestação de tarefa por tempo certo?,ICA-35-13:relevant,ICA-35-13:0.617;ICA-63-33:0.460;ICA-96-1-art546:0.459;ICA-96-1-art421:0.418;ICA-96-1-art619:0.414,ICA-35-13,,1,0.2000,1.0000,True
Q020,"Quando a altitude mínima do setor não foi estabelecida, o que representar?",ICA-96-1-art194:relevant;ICA-96-1-art219:moderate,ICA-96-1-art218:0.521;ICA-96-1-art264:0.507;ICA-96-1-art466:0.502;ICA-96-1-art193:0.498;ICA-96-1-art590:0.478,,,N/A,0.0000,0.0000,False
